Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	IO	MemAlloc	O3
mandelbrot_seq	elephant.log	16	1	0.001221	0.0000425	0.87	0.709	2,008,155	1,827,761	0	1	0
mandelbrot_seq	elephant.log	32	1	0.00255	0.000221	2.16	0.849	5,128,725	5,300,183	0	1	0
mandelbrot_seq	elephant.log	64	1	0.009084	0.000776	8.7	0.958	17,623,711	19,029,245	0	1	0
mandelbrot_seq	elephant.log	128	1	0.02641	0.000716	26.04	0.986	69,379,385	73,672,652	0	1	0
mandelbrot_seq	elephant.log	256	1	0.09824	0.00904	97.76	0.995	270,799,566	295,560,185	0	1	0
mandelbrot_seq	elephant.log	512	1	0.4908	0.0506	490.28	0.999	1,091,844,713	1,175,523,857	0	1	0
mandelbrot_seq	elephant.log	1024	1	1.4741	0.0414	1,473.59	1	4,323,237,378	4,695,995,421	0	1	0
mandelbrot_seq	elephant.log	2048	1	5.5715	0.0922	5,570.81	1	17,271,695,616	18,790,475,920	0	1	0
mandelbrot_seq	elephant.log	4096	1	21.435	0.104	21,430.33	1	69,140,074,038	75,253,515,895	0	1	0
mandelbrot_seq	elephant.log	8192	1	84.961	0.129	84,951.17	1	276,439,605,962	301,119,421,309	0	1	0
mandelbrot_seq	full.log	16	1	0.000848	0.000208	0.38	0.445	1,124,766	894,039	0	1	0
mandelbrot_seq	full.log	32	1	0.0017712	0.0000574	1.2	0.68	1,718,531	1,670,789	0	1	0
mandelbrot_seq	full.log	64	1	0.0023	0.000339	1.91	0.829	3,964,513	4,725,830	0	1	0
mandelbrot_seq	full.log	128	1	0.005316	0.000594	5.02	0.944	13,091,200	16,796,856	0	1	0
mandelbrot_seq	full.log	256	1	0.020809	0.00082	20.43	0.982	50,798,521	66,173,479	0	1	0
mandelbrot_seq	full.log	512	1	0.0666	0.00113	66.18	0.994	197,475,701	255,988,456	0	1	0
mandelbrot_seq	full.log	1024	1	0.3215	0.0368	320.86	0.998	790,799,876	1,029,443,774	0	1	0
mandelbrot_seq	full.log	2048	1	1.0157	0.0286	1,015.22	1	3,151,174,147	4,112,669,988	0	1	0
