Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	Tasks
mandelbrot_ompi	triple_spiral.log	4096	1	32.04	1.15	26,688.44	0.833	85,841,341,293	92,788,388,533	1
mandelbrot_ompi	triple_spiral.log	4096	1	9.86	1.04	40,245.54	4.08	115,586,639,420	150,152,986,545	8
mandelbrot_ompi	triple_spiral.log	4096	1	7.972	0.435	55,062.27	6.907	143,995,474,616	199,377,121,806	16
mandelbrot_ompi	triple_spiral.log	4096	1	8.704	0.636	113,943.64	13.091	291,190,526,888	325,615,922,855	32
mandelbrot_ompi	triple_spiral.log	4096	1	9.303	0.285	192,489.17	20.692	530,237,506,408	592,205,307,877	64
mandelbrot_seq	triple_spiral.log	4096	1	30.263	0.57	25,776.05	0.852	83,814,159,112	92,116,405,328	1
mandelbrot_pth	triple_spiral.log	4096	32	6.068	0.725	40,591.14	6.69	105,009,937,570	92,299,135,060	1
mandelbrot_omp	triple_spiral.log	4096	32	6.209	0.511	39,773.27	6.406	100,461,902,202	89,512,073,516	1
mandelbrot_ompi_pth	triple_spiral.log	4096	1	30.669	0.596	26,889.85	0.877	85,780,051,540	92,771,671,086	1
mandelbrot_ompi_pth	triple_spiral.log	4096	2	23.64	1.13	33,209.27	1.405	106,063,556,831	92,702,815,999	1
mandelbrot_ompi_pth	triple_spiral.log	4096	4	22.581	0.834	33,623.27	1.489	107,102,482,287	92,698,089,772	1
mandelbrot_ompi_pth	triple_spiral.log	4096	8	21.088	0.539	33,556.03	1.591	107,046,809,994	92,587,398,094	1
mandelbrot_ompi_pth	triple_spiral.log	4096	16	21.389	0.475	33,550.78	1.569	107,220,598,982	92,631,575,546	1
mandelbrot_ompi_pth	triple_spiral.log	4096	32	19.882	0.211	33,357.80	1.678	107,018,283,585	92,554,443,419	1
mandelbrot_ompi_pth	triple_spiral.log	4096	1	10.066	0.83	41,362.05	4.109	115,192,944,211	150,069,972,495	8
mandelbrot_ompi_pth	triple_spiral.log	4096	2	7.883	0.552	42,632.91	5.408	110,909,278,725	139,748,709,232	8
